,Année,Alerte,Département,Commune,Surface (ha),Nature,Précision de la donnée
,2023,01/01/2023 10:05,2B,Cagnano,0.0100,Malveillance,-
,2023,01/01/2023 15:29,88,Dommartin-lès-Remiremont,0.0002,-,-
,2023,01/01/2023 17:54,40,Labatut,0.1000,Accidentelle,-
,2023,01/01/2023 18:11,64,Iholdy,1.0000,-,-
,2023,02/01/2023 20:59,83,Rayol-Canadel-sur-Mer,0.0035,Involontaire (particulier),Données partielles ou non valides
,2023,03/01/2023 15:15,83,Figanières,0.0002,-,Données partielles ou non valides
,2023,04/01/2023 11:37,2A,Tolla,0.0200,Involontaire (particulier),-
,2023,04/01/2023 13:14,66,Salses-le-Château,0.5000,Involontaire (travaux),-
,2023,05/01/2023 11:57,64,Lahourcade,0.0010,-,-
,2023,05/01/2023 16:55,13,Septèmes-les-Vallons,0.1000,Accidentelle,-
,2023,05/01/2023 18:51,31,Les Tourreilles,0.5000,-,-
,2023,06/01/2023 14:04,32,Pessan,1.0000,-,-
,2023,06/01/2023 14:27,2B,Venaco,0.0100,-,-
,2023,06/01/2023 15:38,2B,Lavatoggio,0.0500,-,-
,2023,06/01/2023 20:15,13,Cassis,0.0020,Accidentelle,-
,2023,07/01/2023 15:09,83,Aiguines,10.0000,Accidentelle,Données partielles ou non valides
,2023,08/01/2023 11:08,2B,Carcheto-Brustico,0.5000,-,-
,2023,08/01/2023 12:26,2B,Lumio,0.0100,-,-
,2023,11/01/2023 16:33,2B,Sorbo-Ocagnano,0.3000,-,-
,2023,11/01/2023 22:51,2A,Zonza,0.0001,Involontaire (particulier),-
,2023,12/01/2023 01:10,11,Narbonne,0.0150,Accidentelle,-
,2023,12/01/2023 13:31,83,Fayence,0.5000,Involontaire (particulier),Données partielles ou non valides
,2023,13/01/2023 14:55,30,Cabrières,0.1000,-,-
,2023,13/01/2023 17:40,2B,Olmi-Cappella,0.0300,-,-
,2023,13/01/2023 18:18,83,Vidauban,0.0010,Involontaire (travaux),Données partielles ou non valides
,2023,13/01/2023 23:29,88,Aouze,0.0001,-,-
,2023,14/01/2023 14:32,83,Figanières,0.2000,Involontaire (particulier),Données partielles ou non valides
,2023,14/01/2023 14:43,66,Molitg-les-Bains,3.0000,Involontaire (particulier),-
,2023,14/01/2023 19:49,83,Salernes,0.0001,Involontaire (travaux),Données partielles ou non valides
,2023,15/01/2023 10:21,2B,Castello-di-Rostino,0.1000,-,-
,2023,16/01/2023 13:42,974,La Possession,0.2000,-,-
,2023,18/01/2023 11:36,66,Espira-de-l'Agly,0.0500,Malveillance,-
,2023,19/01/2023 14:13,83,Roquebrune-sur-Argens,0.0060,-,Données partielles ou non valides
,2023,19/01/2023 15:08,06,Vence,5.0000,-,-
,2023,20/01/2023 17:03,13,Le Puy-Sainte-Réparade,0.0015,Involontaire (particulier),-
,2023,20/01/2023 17:53,30,Marguerittes,0.1000,-,-
,2023,20/01/2023 20:02,83,Gonfaron,0.0003,-,Données partielles ou non valides
,2023,21/01/2023 10:20,11,Port-la-Nouvelle,0.0150,Accidentelle,-
,2023,21/01/2023 13:31,83,Ampus,1.8000,Involontaire (particulier),Données partielles ou non valides
,2023,21/01/2023 18:09,83,Fréjus,0.0002,Involontaire (particulier),Données partielles ou non valides
,2023,21/01/2023 22:37,66,Calce,0.0600,Malveillance,-
,2023,22/01/2023 00:35,06,Lucéram,0.0500,-,-
,2023,22/01/2023 00:42,38,Le Bouchage,0.0100,Involontaire (travaux),-
,2023,22/01/2023 14:12,30,Concoules,0.0300,-,-
,2023,22/01/2023 14:25,66,Céret,0.1920,Involontaire (particulier),-
,2023,23/01/2023 16:10,13,Lambesc,0.0300,-,-
,2023,24/01/2023 10:26,85,Saint-Hilaire-de-Riez,0.0010,Accidentelle,-
,2023,24/01/2023 12:10,83,Salernes,0.0050,Involontaire (particulier),Données partielles ou non valides
,2023,24/01/2023 17:55,83,Saint-Julien,0.0005,Involontaire (particulier),Données partielles ou non valides
,2023,24/01/2023 19:26,83,Saint-Maximin-la-Sainte-Baume,0.0010,Involontaire (particulier),Données partielles ou non valides
,2023,25/01/2023 11:30,83,Bauduen,0.0150,Accidentelle,Données partielles ou non valides
,2023,25/01/2023 13:22,48,Altier,1.5300,Involontaire (travaux),-
,2023,25/01/2023 13:26,13,Istres,0.0060,Accidentelle,-
,2023,25/01/2023 15:50,83,Ginasservis,0.0050,-,Données partielles ou non valides
,2023,25/01/2023 15:59,83,Lorgues,0.0005,Accidentelle,Données partielles ou non valides
,2023,26/01/2023 15:36,06,Coursegoules,0.0200,Malveillance,-
,2023,27/01/2023 13:17,11,Port-la-Nouvelle,0.0300,Accidentelle,-
,2023,27/01/2023 18:53,13,Les Pennes-Mirabeau,0.0010,Involontaire (particulier),-
,2023,27/01/2023 20:40,34,Vailhan,0.8634,Malveillance,-
,2023,28/01/2023 11:00,06,Castellar,0.0200,-,-
,2023,28/01/2023 13:18,06,Saint-Sauveur-sur-Tinée,0.0200,Involontaire (particulier),-
,2023,28/01/2023 14:05,26,Cornillac,0.5000,Involontaire (particulier),-
,2023,28/01/2023 16:05,56,Locqueltas,0.0800,Involontaire (travaux),-
,2023,29/01/2023 01:05,13,Cassis,0.0010,Involontaire (particulier),-
,2023,29/01/2023 06:43,38,Saint-Savin,0.0001,-,-
,2023,29/01/2023 15:23,83,Pourrières,0.0300,Involontaire (particulier),Données partielles ou non valides
,2023,29/01/2023 16:20,13,Fuveau,0.0030,Involontaire (particulier),-
,2023,29/01/2023 17:16,66,Maureillas-las-Illas,0.0200,-,-
,2023,29/01/2023 17:40,11,Camplong-d'Aude,0.1500,-,-
,2023,29/01/2023 18:02,83,Les Adrets-de-l'Estérel,0.0001,-,Données partielles ou non valides
,2023,29/01/2023 23:39,30,Lamelouze,0.3470,Involontaire (particulier),-
,2023,30/01/2023 11:11,83,Mons,0.0550,Malveillance,Données partielles ou non valides
,2023,30/01/2023 15:48,84,Goult,0.9700,Involontaire (particulier),-
,2023,30/01/2023 20:15,83,Villecroze,0.0020,Involontaire (particulier),Données partielles ou non valides
,2023,31/01/2023 07:04,13,Rognes,0.0200,Involontaire (particulier),-
,2023,31/01/2023 12:54,83,Bauduen,0.0010,Involontaire (particulier),Données partielles ou non valides
,2023,31/01/2023 13:44,66,Rasiguères,0.0800,Malveillance,-
,2023,31/01/2023 15:49,83,Le Val,0.0500,Involontaire (particulier),Données partielles ou non valides
,2023,31/01/2023 15:56,83,Cotignac,0.2500,Involontaire (particulier),Données partielles ou non valides
,2023,31/01/2023 16:08,34,Cruzy,0.9817,Involontaire (travaux),-
,2023,31/01/2023 16:27,06,Ilonse,0.0100,Malveillance,-
,2023,31/01/2023 18:52,83,Hyères,0.0500,Accidentelle,Données partielles ou non valides
,2023,31/01/2023 19:24,34,Aspiran,2.1834,Malveillance,-
,2023,31/01/2023 20:15,11,Narbonne,0.0030,Malveillance,-
,2023,31/01/2023 20:54,13,Gardanne,0.0100,-,-
,2023,01/02/2023 06:23,83,La Garde-Freinet,0.7000,Involontaire (travaux),Données partielles ou non valides
,2023,01/02/2023 06:54,83,La Garde-Freinet,0.4000,Involontaire (travaux),Données partielles ou non valides
,2023,01/02/2023 11:34,06,Vence,18.0900,Malveillance,-
,2023,01/02/2023 13:38,04,Manosque,0.0900,Involontaire (travaux),-
,2023,01/02/2023 13:53,66,Tordères,0.0650,Involontaire (particulier),-
,2023,01/02/2023 15:31,66,Mosset,0.0500,-,-
,2023,02/02/2023 13:13,11,La Palme,0.8000,Involontaire (travaux),-
,2023,02/02/2023 13:47,83,Seillans,0.4000,Involontaire (travaux),Données partielles ou non valides
,2023,02/02/2023 14:47,11,Peyriac-de-Mer,7.0020,Involontaire (travaux),-
,2023,02/02/2023 15:01,04,Lambruisse,62.9900,Involontaire (travaux),-
,2023,02/02/2023 15:37,34,Tressan,5.9816,Involontaire (travaux),-
,2023,02/02/2023 16:13,66,Montalba-le-Château,1.9303,Malveillance,-
,2023,02/02/2023 17:36,11,Gruissan,0.0001,Involontaire (particulier),-
,2023,02/02/2023 17:57,83,Seillons-Source-d'Argens,0.0005,Involontaire (travaux),Données partielles ou non valides
,2023,02/02/2023 19:52,83,Châteaudouble,0.0010,Involontaire (particulier),Données partielles ou non valides
,2023,02/02/2023 22:25,83,Garéoult,0.0010,-,Données partielles ou non valides
,2023,03/02/2023 13:29,30,Méjannes-le-Clap,0.1000,-,-
,2023,03/02/2023 13:57,13,Ventabren,0.0200,-,-
,2023,03/02/2023 15:35,48,Fraissinet-de-Fourques,1.7400,Involontaire (travaux),-
,2023,03/02/2023 15:40,48,Fraissinet-de-Fourques,2.0000,Involontaire (travaux),-
,2023,03/02/2023 15:51,84,Peypin-d'Aigues,0.0800,-,-
,2023,03/02/2023 19:12,34,Roujan,4.4773,Malveillance,-
,2023,03/02/2023 21:19,11,Coursan,1.0000,Involontaire (travaux),-
,2023,04/02/2023 05:32,13,Mouriès,95.4400,Accidentelle,-
,2023,04/02/2023 08:48,30,Calvisson,0.1000,-,-
,2023,04/02/2023 09:47,04,Esparron-de-Verdon,0.0700,Involontaire (particulier),-
,2023,04/02/2023 10:17,11,Cassaignes,0.2000,-,-
,2023,04/02/2023 11:33,34,Hérépian,0.5169,Malveillance,-
,2023,04/02/2023 13:58,13,Allauch,0.0010,Involontaire (particulier),-
,2023,04/02/2023 14:16,34,Saint-Vincent-d'Olargues,0.1024,Involontaire (particulier),-
,2023,04/02/2023 14:21,34,Olonzac,0.4108,Involontaire (travaux),-
,2023,04/02/2023 15:39,34,Magalas,1.2094,Malveillance,-
,2023,04/02/2023 16:28,06,La Croix-sur-Roudoule,0.0050,-,-
,2023,04/02/2023 16:53,06,Coursegoules,0.5000,Involontaire (particulier),-
,2023,04/02/2023 18:54,34,Soubès,0.1692,Involontaire (particulier),-
,2023,04/02/2023 23:44,56,Sauzon,7.0000,-,-
,2023,05/02/2023 11:10,11,Port-la-Nouvelle,0.0500,Involontaire (particulier),-
,2023,05/02/2023 12:17,13,Saint-Rémy-de-Provence,0.0100,Accidentelle,-
,2023,05/02/2023 13:19,11,Montséret,2.1720,-,-
,2023,05/02/2023 14:00,11,Saint-Martin-de-Villereglan,0.0017,Involontaire (travaux),-
,2023,05/02/2023 15:06,66,Torreilles,25.4700,Malveillance,-
,2023,05/02/2023 16:09,05,Upaix,0.0020,Involontaire (particulier),-
,2023,05/02/2023 16:20,30,Saint-Roman-de-Codières,0.0078,Involontaire (particulier),-
,2023,05/02/2023 17:05,83,Cabasse,0.0005,Involontaire (travaux),Données partielles ou non valides
,2023,05/02/2023 17:34,30,Roquedur,0.0233,Involontaire (particulier),-
,2023,06/02/2023 07:34,66,Serralongue,0.5000,Accidentelle,-
,2023,06/02/2023 10:49,2A,Bonifacio,0.0001,Involontaire (particulier),-
,2023,06/02/2023 11:05,2A,Tavera,0.0100,Involontaire (travaux),-
,2023,06/02/2023 15:03,2B,Ghisonaccia,0.0150,-,-
,2023,06/02/2023 17:32,13,Tarascon,0.0030,Involontaire (particulier),-
,2023,06/02/2023 19:46,11,Coursan,0.0100,Involontaire (travaux),-
,2023,06/02/2023 22:28,13,Trets,0.0300,Involontaire (particulier),-
,2023,07/02/2023 11:50,83,Puget-sur-Argens,0.0300,Involontaire (particulier),Données partielles ou non valides
,2023,07/02/2023 15:18,83,Hyères,0.0010,Accidentelle,Données partielles ou non valides
,2023,07/02/2023 17:16,47,Lacépède,0.0100,Involontaire (particulier),-
,2023,07/02/2023 18:33,88,Portieux,0.0020,-,-
,2023,07/02/2023 18:36,12,Brousse-le-Château,0.0010,Involontaire (particulier),-
,2023,07/02/2023 18:53,83,Carnoules,0.0010,Accidentelle,Données partielles ou non valides
,2023,08/02/2023 05:00,40,Biscarrosse,0.0300,Accidentelle,-
,2023,08/02/2023 10:18,13,Martigues,0.0002,Malveillance,-
,2023,08/02/2023 10:22,83,Roquebrune-sur-Argens,0.0005,Involontaire (particulier),Données partielles ou non valides
,2023,08/02/2023 11:37,2B,Santo-Pietro-di-Tenda,0.0040,Malveillance,-
,2023,08/02/2023 11:37,2B,Santo-Pietro-di-Tenda,0.0050,Malveillance,-
,2023,08/02/2023 15:25,07,Vallées-d'Antraigues-Asperjoc,3.6320,Involontaire (travaux),-
,2023,08/02/2023 17:10,24,Saint-Cyprien,1.0000,Malveillance,-
,2023,08/02/2023 17:45,06,La Brigue,8.4000,-,-
,2023,09/02/2023 04:50,06,Châteauneuf-Grasse,0.2900,Malveillance,-
,2023,09/02/2023 14:00,48,Florac Trois Rivières,1.5900,Involontaire (travaux),-
,2023,09/02/2023 14:23,47,Saint-Caprais-de-Lerm,0.0020,Involontaire (particulier),-
,2023,09/02/2023 15:46,06,La Croix-sur-Roudoule,0.1000,Involontaire (particulier),-
,2023,09/02/2023 17:12,77,Fontainebleau,0.1800,-,Données partielles ou non valides
,2023,09/02/2023 18:51,47,Bourlens,0.0200,Involontaire (particulier),-
,2023,10/02/2023 10:18,13,Roquevaire,0.0200,Involontaire (particulier),-
,2023,10/02/2023 13:03,07,Saint-Pierre-Saint-Jean,0.3000,Involontaire (particulier),-
,2023,10/02/2023 13:42,33,Sainte-Hélène,0.0020,Malveillance,-
,2023,10/02/2023 15:10,83,Mazaugues,0.0007,Involontaire (particulier),Données partielles ou non valides
,2023,10/02/2023 16:01,47,Montayral,0.0300,Involontaire (particulier),-
,2023,10/02/2023 16:28,30,Rivières,0.1000,-,-
,2023,10/02/2023 17:04,40,Castets,0.0050,Involontaire (travaux),-
,2023,10/02/2023 18:27,07,Malarce-sur-la-Thines,55.1000,Involontaire (travaux),-
,2023,10/02/2023 18:40,11,Saint-Papoul,0.0100,Accidentelle,-
,2023,11/02/2023 00:21,30,Caveirac,0.0039,Accidentelle,-
,2023,11/02/2023 10:32,13,Cornillon-Confoux,0.0200,Involontaire (particulier),-
,2023,11/02/2023 12:20,2A,Olivese,0.0010,-,-
,2023,11/02/2023 13:12,19,Chameyrat,0.1000,-,-
,2023,11/02/2023 13:45,19,Chanac-les-Mines,0.1600,-,-
,2023,11/02/2023 14:01,24,Lunas,0.5000,Involontaire (particulier),-
,2023,11/02/2023 14:19,19,Chameyrat,0.1000,-,-
,2023,11/02/2023 15:00,83,Pourcieux,0.0005,-,Données partielles ou non valides
,2023,11/02/2023 15:20,11,Lafage,0.8000,Involontaire (travaux),-
,2023,11/02/2023 17:27,47,Courbiac,0.0500,Involontaire (particulier),-
,2023,11/02/2023 18:33,15,Ytrac,2.0000,Involontaire (travaux),-
